Label,Analysis,nVertices,SessCode,ClassifyPair,Classifier,Run,Predicted,Targets,ACC
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,73,facewordN01_self,Chinese_top-Chinese_bottom,cosmo_classify_libsvm,6,8,8,1
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,73,facewordN01_self,Chinese_top-Chinese_bottom,cosmo_classify_libsvm,7,7,7,1
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,73,facewordN01_self,Chinese_top-Chinese_bottom,cosmo_classify_libsvm,7,7,8,0
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,73,facewordN01_self,Chinese_top-Chinese_bottom,cosmo_classify_libsvm,8,7,7,1
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,73,facewordN01_self,Chinese_top-Chinese_bottom,cosmo_classify_libsvm,8,8,8,1
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,73,facewordN01_self,Chinese_top-Chinese_bottom,cosmo_classify_libsvm,9,8,7,0
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,73,facewordN01_self,Chinese_top-Chinese_bottom,cosmo_classify_libsvm,9,8,8,1
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,73,facewordN01_self,Chinese_top-Chinese_bottom,cosmo_classify_libsvm,10,7,7,1
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,73,facewordN01_self,Chinese_top-Chinese_bottom,cosmo_classify_libsvm,10,8,8,1
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,136,facewordN02_self,English_intact-Chinese_intact,cosmo_classify_libsvm,1,5,1,0
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,136,facewordN02_self,English_intact-Chinese_intact,cosmo_classify_libsvm,1,5,5,1
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,136,facewordN02_self,English_intact-Chinese_intact,cosmo_classify_libsvm,2,5,1,0
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,136,facewordN02_self,English_intact-Chinese_intact,cosmo_classify_libsvm,2,5,5,1
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,136,facewordN02_self,English_intact-Chinese_intact,cosmo_classify_libsvm,3,5,1,0
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,136,facewordN02_self,English_intact-Chinese_intact,cosmo_classify_libsvm,3,5,5,1
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,136,facewordN02_self,English_intact-Chinese_intact,cosmo_classify_libsvm,4,1,1,1
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,136,facewordN02_self,English_intact-Chinese_intact,cosmo_classify_libsvm,4,5,5,1
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,136,facewordN02_self,English_intact-Chinese_intact,cosmo_classify_libsvm,5,1,1,1
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,136,facewordN02_self,English_intact-Chinese_intact,cosmo_classify_libsvm,5,1,5,0
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,136,facewordN02_self,English_intact-Chinese_intact,cosmo_classify_libsvm,6,5,1,0
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,136,facewordN02_self,English_intact-Chinese_intact,cosmo_classify_libsvm,6,5,5,1
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,136,facewordN02_self,English_intact-Chinese_intact,cosmo_classify_libsvm,7,1,1,1
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,136,facewordN02_self,English_intact-Chinese_intact,cosmo_classify_libsvm,7,5,5,1
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,136,facewordN02_self,English_intact-Chinese_intact,cosmo_classify_libsvm,8,1,1,1
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,136,facewordN02_self,English_intact-Chinese_intact,cosmo_classify_libsvm,8,5,5,1
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,136,facewordN02_self,English_intact-Chinese_intact,cosmo_classify_libsvm,9,5,1,0
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,136,facewordN02_self,English_intact-Chinese_intact,cosmo_classify_libsvm,9,5,5,1
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,136,facewordN02_self,English_intact-Chinese_intact,cosmo_classify_libsvm,10,1,1,1
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,136,facewordN02_self,English_intact-Chinese_intact,cosmo_classify_libsvm,10,5,5,1
roi.lh.o-vs-scr.label,main_sm0_E2_self.lh,136,facewordN02_self,English_intact-English_exchange,cosmo_classify_libsvm,1,1,1,1
