Label,Analysis,nVertices,SessCode,Condition,Response
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,130868,faceword11_self,face_bottom,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,130868,faceword11_self,word_intact,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,130868,faceword11_self,word_exchange,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,130868,faceword11_self,word_top,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,130868,faceword11_self,word_bottom,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,122895,faceword12_self,face_intact,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,122895,faceword12_self,face_exchange,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,122895,faceword12_self,face_top,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,122895,faceword12_self,face_bottom,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,122895,faceword12_self,word_intact,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,122895,faceword12_self,word_exchange,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,122895,faceword12_self,word_top,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,122895,faceword12_self,word_bottom,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,141052,faceword13_self,face_intact,1.69381399835859
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,141052,faceword13_self,face_exchange,1.41236157757895
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,141052,faceword13_self,face_top,1.15315731252943
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,141052,faceword13_self,face_bottom,1.56624651466097
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,141052,faceword13_self,word_intact,1.08601827919483
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,141052,faceword13_self,word_exchange,1.2878125173705
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,141052,faceword13_self,word_top,0.761746553863798
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,141052,faceword13_self,word_bottom,0.879340614591326
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,145758,faceword14_self,face_intact,1.89262022470173
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,145758,faceword14_self,face_exchange,1.61692388075635
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,145758,faceword14_self,face_top,1.63747544127299
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,145758,faceword14_self,face_bottom,1.44879277935602
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,145758,faceword14_self,word_intact,1.15123518427512
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,145758,faceword14_self,word_exchange,1.15390347179614
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,145758,faceword14_self,word_top,0.999222176639657
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,145758,faceword14_self,word_bottom,1.0224369894293
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,129803,faceword16_self,face_intact,1.82747925715904
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,129803,faceword16_self,face_exchange,1.58315747813003
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,129803,faceword16_self,face_top,1.10127131253073
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,129803,faceword16_self,face_bottom,1.25180699727307
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,129803,faceword16_self,word_intact,2.29483995045701
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,129803,faceword16_self,word_exchange,1.81414275136712
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,129803,faceword16_self,word_top,1.44334938918075
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,129803,faceword16_self,word_bottom,1.97137924416424
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,130826,faceword17_self,face_intact,1.48013006110449
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,130826,faceword17_self,face_exchange,1.17661851443149
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,130826,faceword17_self,face_top,1.30762208635743
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,130826,faceword17_self,face_bottom,1.1023947254226
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,130826,faceword17_self,word_intact,1.20232188218349
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,130826,faceword17_self,word_exchange,0.866042253536147
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,130826,faceword17_self,word_top,0.892606081793437
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,130826,faceword17_self,word_bottom,0.875060739952165
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,137707,faceword18_self,face_intact,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,137707,faceword18_self,face_exchange,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,137707,faceword18_self,face_top,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,137707,faceword18_self,face_bottom,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,137707,faceword18_self,word_intact,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,137707,faceword18_self,word_exchange,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,137707,faceword18_self,word_top,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,137707,faceword18_self,word_bottom,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,150655,faceword19_self,face_intact,1.6165070269789
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,150655,faceword19_self,face_exchange,1.45400872869151
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,150655,faceword19_self,face_top,1.04694561681577
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,150655,faceword19_self,face_bottom,1.13602796995214
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,150655,faceword19_self,word_intact,1.12278041951358
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,150655,faceword19_self,word_exchange,1.26934221812657
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,150655,faceword19_self,word_top,1.20700047165155
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,150655,faceword19_self,word_bottom,1.16228275362934
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,118168,faceword20_self,face_intact,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,118168,faceword20_self,face_exchange,NaN
roi.lh.f-vs-o.ffa1.label,main_sm5_E1_self.lh,118168,faceword20_self,face_top,NaN
