Label,Analysis,nVertices,SessCode,ClassifyPair,Classifier,Run,Predicted,Targets,ACC
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,117,faceword06_self,word_intact-word_exchange,cosmo_classify_libsvm,3,5,5,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,117,faceword06_self,word_intact-word_exchange,cosmo_classify_libsvm,3,5,6,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,117,faceword06_self,word_intact-word_exchange,cosmo_classify_libsvm,4,6,5,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,117,faceword06_self,word_intact-word_exchange,cosmo_classify_libsvm,4,5,6,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,117,faceword06_self,word_intact-word_exchange,cosmo_classify_libsvm,5,6,5,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,117,faceword06_self,word_intact-word_exchange,cosmo_classify_libsvm,5,6,6,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,117,faceword06_self,word_intact-word_exchange,cosmo_classify_libsvm,6,5,5,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,117,faceword06_self,word_intact-word_exchange,cosmo_classify_libsvm,6,5,6,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,117,faceword06_self,word_intact-word_exchange,cosmo_classify_libsvm,7,6,5,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,117,faceword06_self,word_intact-word_exchange,cosmo_classify_libsvm,7,6,6,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,117,faceword06_self,word_intact-word_exchange,cosmo_classify_libsvm,8,5,5,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,117,faceword06_self,word_intact-word_exchange,cosmo_classify_libsvm,8,5,6,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,117,faceword06_self,word_intact-word_exchange,cosmo_classify_libsvm,9,5,5,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,117,faceword06_self,word_intact-word_exchange,cosmo_classify_libsvm,9,5,6,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,117,faceword06_self,word_intact-word_exchange,cosmo_classify_libsvm,10,6,5,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,117,faceword06_self,word_intact-word_exchange,cosmo_classify_libsvm,10,6,6,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,117,faceword06_self,face_top-face_bottom,cosmo_classify_libsvm,1,4,3,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,117,faceword06_self,face_top-face_bottom,cosmo_classify_libsvm,1,4,4,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,117,faceword06_self,face_top-face_bottom,cosmo_classify_libsvm,2,4,3,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,117,faceword06_self,face_top-face_bottom,cosmo_classify_libsvm,2,3,4,0
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,117,faceword06_self,face_top-face_bottom,cosmo_classify_libsvm,3,3,3,1
roi.rh.f-vs-o.ffa1.label,main_sm0_E1_self.rh,117,faceword06_self,face_top-face_bottom,cosmo_classify_libsvm,3,3,4,0
