Label,Analysis,nVertices,SessCode,Condition,Response,Area
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,153209,facewordN13_self,English_intact,1.16797569468617,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,153209,facewordN13_self,English_exchange,1.15123543068767,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,153209,facewordN13_self,English_top,1.09444505497813,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,153209,facewordN13_self,English_bottom,1.27070489227772,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,153209,facewordN13_self,Chinese_intact,0.349338332097977,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,153209,facewordN13_self,Chinese_exchange,0.217268078727648,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,153209,facewordN13_self,Chinese_top,0.472190450131893,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,153209,facewordN13_self,Chinese_bottom,0.318858808092773,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,125104,facewordN14_self,English_intact,0.408288420407803,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,125104,facewordN14_self,English_exchange,0.369212149025558,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,125104,facewordN14_self,English_top,0.413275168894173,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,125104,facewordN14_self,English_bottom,0.264662848471047,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,125104,facewordN14_self,Chinese_intact,0.341635861373567,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,125104,facewordN14_self,Chinese_exchange,0.342471825225013,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,125104,facewordN14_self,Chinese_top,0.387846138570216,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,125104,facewordN14_self,Chinese_bottom,0.310912576201674,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,153567,facewordN15_self,English_intact,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,153567,facewordN15_self,English_exchange,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,153567,facewordN15_self,English_top,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,153567,facewordN15_self,English_bottom,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,153567,facewordN15_self,Chinese_intact,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,153567,facewordN15_self,Chinese_exchange,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,153567,facewordN15_self,Chinese_top,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,153567,facewordN15_self,Chinese_bottom,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,137341,facewordN16_self,English_intact,0.848677828525886,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,137341,facewordN16_self,English_exchange,0.98358943599921,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,137341,facewordN16_self,English_top,0.709744375867721,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,137341,facewordN16_self,English_bottom,0.924258949664923,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,137341,facewordN16_self,Chinese_intact,0.478183734111297,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,137341,facewordN16_self,Chinese_exchange,0.558713080027165,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,137341,facewordN16_self,Chinese_top,0.382109177800325,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,137341,facewordN16_self,Chinese_bottom,0.346100812539076,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,129334,facewordN17_self,English_intact,1.53636325001717,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,129334,facewordN17_self,English_exchange,1.32990746498108,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,129334,facewordN17_self,English_top,0.885927790403366,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,129334,facewordN17_self,English_bottom,1.56290677189827,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,129334,facewordN17_self,Chinese_intact,0.17925609407248,50
